"","names","total"
"1137","for him",2085
"1138","and no",2084
"1139","believe that",2084
"1140","didnt know",2084
"1141","something that",2083
"1142","to pay",2083
"1143","was that",2083
"1144","wake up",2080
"1145","my husband",2076
"1146","just the",2075
"1147","the main",2074
"1148","not that",2070
"1149","was to",2070
"1150","get some",2069
"1151","shout out",2069
"1152","have had",2066
"1153","that if",2065
"1154","the name",2065
"1155","yeah i",2064
"1156","your favorite",2064
"1157","go on",2063
"1158","he will",2063
"1159","a woman",2062
"1160","i told",2060
"1161","to move",2059
"1162","give you",2058
"1163","come out",2057
"1164","thought i",2056
"1165","which was",2055
"1166","read the",2054
"1167","was on",2054
"1168","it so",2053
"1169","we would",2053
"1170","is always",2049
"1171","the final",2046
"1172","and one",2045
"1173","new year",2045
"1174","what he",2045
"1175","over and",2043
"1176","a large",2042
"1177","type of",2040
"1178","a different",2039
"1179","see if",2036
"1180","great to",2035
"1181","is for",2034
"1182","friends and",2033
"1183","please follow",2032
"1184","proud of",2031
"1185","so im",2031
"1186","about my",2029
"1187","and be",2022
"1188","these are",2022
"1189","to ask",2022
"1190","might have",2021
"1191","and are",2019
"1192","how it",2016
"1193","on me",2016
"1194","one is",2011
"1195","many people",2010
"1196","next year",2009
"1197","i look",2008
"1198","why is",2008
"1199","and on",2007
"1200","i read",2004
"1201","the bottom",1999
"1202","all you",1998
"1203","down and",1998
"1204","few days",1994
"1205","my family",1994
"1206","while the",1994
"1207","glad you",1993
"1208","needed to",1993
"1209","us and",1986
"1210","its like",1985
"1211","time of",1985
"1212","on top",1984
"1213","the film",1983
"1214","the case",1981
"1215","thing i",1974
"1216","work and",1971
"1217","am a",1968
"1218","is really",1967
"1219","watch the",1964
"1220","now im",1962
"1221","today and",1962
"1222","tonight at",1960
"1223","all this",1959
"1224","have fun",1959
"1225","on facebook",1959
"1226","cant believe",1957
"1227","a month",1954
"1228","only a",1953
"1229","will do",1953
"1230","about what",1951
"1231","a free",1949
"1232","be so",1949
"1233","her to",1949
"1234","the little",1949
"1235","pick up",1947
"1236","as long",1946
"1237","this book",1944
"1238","my dad",1943
"1239","thought it",1942
"1240","to run",1942
"1241","home and",1941
"1242","if your",1941
"1243","were not",1940
"1244","over to",1939
"1245","too many",1938
"1246","and of",1936
"1247","glad to",1936
"1248","work with",1935
"1249","figure out",1934
"1250","in new",1932
"1251","then the",1931
"1252","look forward",1930
"1253","would not",1929
"1254","will get",1928
"1255","a girl",1926
"1256","with our",1925
"1257","my day",1924
"1258","and had",1923
"1259","but then",1922
"1260","when im",1921
"1261","use of",1919
"1262","think you",1917
"1263","they would",1914
"1264","these days",1912
"1265","i heard",1911
"1266","place to",1910
"1267","little bit",1908
"1268","want a",1908
"1269","if its",1907
"1270","deal with",1905
"1271","it when",1904
"1272","but when",1901
"1273","way i",1900
"1274","pretty much",1899
"1275","with no",1899
"1276","one that",1898
"1277","end up",1896
"1278","and has",1893
"1279","become a",1890
"1280","list of",1890
"1281","still have",1890
"1282","you at",1890
"1283","the following",1889
"1284","that can",1888
"1285","at that",1886
"1286","no more",1886
"1287","see that",1886
"1288","be more",1885
"1289","it does",1885
"1290","someone who",1885
"1291","find the",1881
"1292","are still",1880
"1293","along the",1879
"1294","to and",1878
"1295","in life",1876
"1296","its so",1876
"1297","the internet",1872
"1298","get in",1871
"1299","it makes",1870
"1300","dont even",1866
"1301","for example",1864
"1302","to spend",1861
"1303","didnt have",1860
"1304","bunch of",1859
"1305","up my",1857
"1306","said i",1856
"1307","got my",1855
"1308","a single",1854
"1309","to school",1853
"1310","say i",1852
"1311","to call",1851
"1312","for one",1850
"1313","take it",1849
"1314","youre not",1842
"1315","here are",1841
"1316","a person",1839
"1317","are some",1839
"1318","call me",1838
"1319","that have",1838
"1320","you ever",1838
"1321","to add",1837
"1322","just saw",1834
"1323","into my",1831
"1324","will you",1831
"1325","but there",1826
"1326","care of",1825
"1327","so happy",1824
"1328","woke up",1823
"1329","made the",1822
"1330","the music",1820
"1331","we just",1820
"1332","willing to",1820
"1333","for being",1818
"1334","opportunity to",1818
"1335","a place",1817
"1336","the united",1814
"1337","took a",1814
"1338","things i",1813
"1339","i loved",1809
"1340","the season",1809
"1341","were a",1809
"1342","the family",1808
"1343","middle of",1806
"1344","the original",1806
"1345","a really",1805
"1346","love this",1805
"1347","quite a",1802
"1348","were in",1802
"1349","out that",1801
"1350","starting to",1800
"1351","love with",1798
"1352","focus on",1797
"1353","for sure",1796
"1354","ability to",1794
"1355","well be",1794
"1356","had no",1788
"1357","in for",1788
"1358","the perfect",1788
"1359","what happened",1788
"1360","there will",1785
"1361","put it",1784
"1362","time with",1784
"1363","me but",1783
"1364","one more",1783
"1365","the beginning",1781
"1366","join us",1780
"1367","my best",1774
"1368","over a",1774
"1369","theres no",1774
"1370","and thats",1772
"1371","congrats to",1771
"1372","i hear",1771
"1373","have it",1770
"1374","here i",1767
"1375","much to",1767
"1376","of how",1767
"1377","on how",1767
"1378","love your",1766
"1379","to become",1765
"1380","because he",1762
"1381","the problem",1761
"1382","was my",1760
"1383","whats up",1760
"1384","a bunch",1759
"1385","good for",1758
"1386","the person",1758
"1387","to for",1758
"1388","excited for",1757
"1389","make you",1756
"1390","check it",1754
"1391","we know",1754
"1392","and let",1752
"1393","to everyone",1752
"1394","set up",1751
"1395","the water",1751
"1396","or so",1750
"1397","group of",1748
"1398","be back",1746
"1399","did it",1745
"1400","the front",1745
"1401","when a",1742
"1402","years of",1742
"1403","you make",1742
"1404","in its",1741
"1405","i wouldnt",1738
"1406","any other",1737
"1407","not so",1737
"1408","sure you",1736
"1409","a job",1735
"1410","that makes",1735
"1411","is only",1734
"1412","can we",1733
"1413","oh my",1733
"1414","enjoy the",1731
"1415","how about",1731
"1416","version of",1730
"1417","i must",1729
"1418","does it",1728
"1419","said it",1728
"1420","got it",1725
"1421","it looks",1725
"1422","idea of",1724
"1423","let the",1722
"1424","united states",1722
"1425","are just",1721
"1426","out my",1719
"1427","happy mothers",1718
"1428","thats why",1718
"1429","the team",1718
"1430","the room",1717
"1431","to visit",1717
"1432","was very",1715
"1433","no i",1714
"1434","and an",1713
"1435","do we",1712
"1436","it takes",1712
"1437","to pick",1712
"1438","that way",1710
"1439","there and",1710
"1440","he did",1708
"1441","talking to",1708
"1442","just want",1707
"1443","you that",1702
"1444","keep it",1701
"1445","when youre",1699
"1446","how can",1696
"1447","were the",1696
"1448","the air",1695
"1449","the ones",1693
"1450","my house",1691
"1451","thanks so",1691
"1452","youre a",1691
"1453","more about",1690
"1454","it really",1689
"1455","my last",1689
"1456","work in",1688
"1457","have not",1687
"1458","must have",1687
"1459","rt if",1687
"1460","we want",1686
"1461","the place",1685
"1462","said he",1684
"1463","help me",1682
